Username,Name,Contributions,Total Commits,Additions,Deletions,Profile URL,Type
zemuumez,,162,,,,https://github.com/zemuumez,User
enochCodes,,120,,,,https://github.com/enochCodes,User
yordiyes,,26,,,,https://github.com/yordiyes,User
Tesfatsion-Gudeta,,15,,,,https://github.com/Tesfatsion-Gudeta,User
Kirubel-Amare,,9,,,,https://github.com/Kirubel-Amare,User
Sami4N,,7,,,,https://github.com/Sami4N,User
kenenisagizaw,,4,,,,https://github.com/kenenisagizaw,User
google-labs-jules[bot],,3,,,,https://github.com/apps/google-labs-jules,Bot
x21enax,,1,,,,https://github.com/x21enax,User
FasHub,,1,,,,https://github.com/FasHub,User
GaromaMakure,,1,,,,https://github.com/GaromaMakure,User
